english,banjara,pos,ipa,telugu,hindi,source
asking,saval puncer,n.,/savāl pūncer/,సవాల్ పూన్చేర్,सवाल पून्चेर,Banjara_english.docx
asthma,mosa,n.,/mosa/,మోస,मोस,Banjara_english.docx
at,laram,adv.,/lāram/,లారమ్,लारम,Banjara_english.docx
at that time,velama,n.,/vēlāmā/,వేలామా,वेलामा,Banjara_english.docx
attach,cuntad,v.,/cuntad/,చుంతాద్,चुन्ताद,Banjara_english.docx
attain,jitlam,v.,/jitlam/,జిత్లమ్,जितलम,Banjara_english.docx
attend,bhalge,v.,/bhalge/,భల్గే,भलगे,Banjara_english.docx
attention,dhyan,n.,/dhyān/,ధ్యాన్,ध्यान,Banjara_english.docx
attire,sodar,v.,/sodar/,సోదర్,सोदर,Banjara_english.docx
attitude,kanni / gon,n.,/kanni/ /gon/,కన్ని / గోన్,कन्नि / गोन,Banjara_english.docx
attraction,khyancer,v.,/khyāncer/,ఖ్యాన్చేర్,ख्यान्चेर,Banjara_english.docx
attractive,jivtodaro,adj.,/jivtōdārō/,జివ్తోదారో,जिव्तोदारो,Banjara_english.docx
aubergine,vyangan,n.,/vyāngan/,వ్యాంగన్,व्यांगन,Banjara_english.docx
auction,harras,n.,/harrās/,హర్రాస్,हर्रास,Banjara_english.docx
augment,kula,v.,/kulā/,కులా,कुला,Banjara_english.docx
aunt,mami / sasu,n.,/mami/ /sāsu/,మామి / సాసు,मामि / सासु,Banjara_english.docx
authority,nayakima,n.,/nāyakimā/,నాయకిమా,नायकिमा,Banjara_english.docx
auto,atoriksa,n.,/ātōriksā/,ఆటోరిక్సా,आटोरिक्सा,Banjara_english.docx
avert,thamad,v.,/thamad/,థమాద్,थमाद,Banjara_english.docx
awaken,jagan,n.,/jāgan/,జాగన్,जागन,Banjara_english.docx
away,parlevudi,adv.,/parlēvudi/,పర్లేవుది,पर्लेवुदि,Banjara_english.docx
axle,irusu,n.,/irusu/,ఇరుసు,इरुसु,Banjara_english.docx
babble,bhadbhadiya,v.,/bhadbhadiya/,భద్భదియ,भद्भदिय,Banjara_english.docx
babbling,bakro,n.,/bakro/,బక్రో,बक्रो,Banjara_english.docx
baboon,hanut,n.,/hanut/,హనుత్,हनुत,Banjara_english.docx
baby,balak,n.,/bālak/,బాలక్,बालक,Banjara_english.docx
back,puto / pyanar,n. / adj.,/puto/ /pyānār/,పుతో / ప్యానార్,पुतो / प्यानार,Banjara_english.docx
back pain,chvak dukri,n.,/chvāk dukri/,చ్వాక్ దుక్రి,छ्वाक दुक्रि,Banjara_english.docx
backbone,cvaker hadka,n.,/cvāker hadka/,చ్వాకేర్ హడ్క,च्वाकेर हडका,Banjara_english.docx
backward,laram,adv.,/lāram/,లారమ్,लारम,Banjara_english.docx
backyard,khet / vadi,n.,/khet/ /vādi/,ఖేత్ / వాది,खेत / वादि,Banjara_english.docx
bad,kharap,v. / adj.,/kharāp/,ఖరాప్,खराप,Banjara_english.docx
bad looks from others,nanjar,n.,/nañjar/,నంజర్,नन्जर,Banjara_english.docx
bag,kotli / canci,n.,/kōtli/ /canci/,కోత్లి / చంచి,कोत्लि / चन्चि,Banjara_english.docx
balance,takdi / barobar,n. / v.,/takdi/ /barobar/,తక్ది / బరోబర్,तक्दि / बरोबर,Banjara_english.docx
ball,cendu,n.,/cendu/,చెందు,चेन्दु,Banjara_english.docx
ball of string,dhera,adj.,/dhera/,ధేర,धेर,Banjara_english.docx
banana,kela,n.,/kela/,కేల,केला,Banjara_english.docx
band,nada / baja bajantrilu,n.,/nāda/ /bājā bajantrilu/,నాద / బాజా బజంత్రిలు,नाद / बाजा बजन्ट्रिलु,Banjara_english.docx
bandage,patto,n.,/patto/,పత్తో,पत्तो,Banjara_english.docx
bandicoot,dhums,n.,/dhūms/,ధూమ్స్,धूम्स्,Banjara_english.docx
bandy,kera,v.,/kera/,కేర,केर,Banjara_english.docx
bang,banduker cot,n.,/banduker cōt/,బందుకేర్ చోట్,बन्दुकेर चोट,Banjara_english.docx
bangle,bangdi / sisi,n.,/bangdi/ /sisi/,బంగది / సిసి,बंगदि / सिसि,Banjara_english.docx
bank,konora / dari / pal,n.,/konorā/ /dari/ /pāl/,కోనోరా / దరి / పాల్,कोनोरा / दरि / पाल,Banjara_english.docx
barber,navi,n.,/navi/,నావి,नावि,Banjara_english.docx
bargain,molkarer,n.,/molkarēr/,మోల్కరేర్,मोल्करेर,Banjara_english.docx
barking,basro,n.,/basro/,బస్రో,बस्रो,Banjara_english.docx
barn,gab,n.,/gāb/,గాబ్,गाब,Banjara_english.docx
barren,padav,n.,/padāv/,పదావ్,पदाव,Banjara_english.docx
base,tal / bunadi,adj. / n.,/tal/ /bunādi/,తల్ / బునాది,तल / बुनादि,Banjara_english.docx
basil,tolcim,n.,/tolcim/,తోల్చిమ్,तोलचिम,Banjara_english.docx
basket,olda / volda,n.,/oldā/ /vōldā/,ఓల్దా / వోల్దా,ओल्दा / वोल्दा,Banjara_english.docx
bassia,ambadir bhajji,n.,/ambādīr bhājji/,అంబాదీర్ భాజ్జి,अम्बादीर भाज्जि,Banjara_english.docx
bath,hangoli,n.,/hangoli/,హంగోలి,हंगोलि,Banjara_english.docx
bay,ratdo,n.,/rātdo/,రాత్దో,रात्दो,Banjara_english.docx
be,veja / ver,v.,/vējā/ /ver/,వేజా / వేర్,वेजा / वेर,Banjara_english.docx
be concave,khobo,n.,/khōbo/,ఖోబో,खोबो,Banjara_english.docx
be stuck,sankdo,v.,/sānkdo/,సాంక్దో,साङ्क्दो,Banjara_english.docx
beam,doni / lakad,n.,/dōni/ /lākad/,దోని / లాకడ్,दोनि / लाकड,Banjara_english.docx
bean,valoli,n.,/vāloli/,వాలోలి,वालोलि,Banjara_english.docx
beard,dvadi,n.,/dvādi/,ద్వాది,द्वादि,Banjara_english.docx
beat,cot / laga,n.,/cot/ /laga/,చోట్ / లగ,चोट / लग,Banjara_english.docx
became good,accovego,v.,/accovego/,అచ్చోవేగో,अच्चोवेगो,Banjara_english.docx
because,hanukan,adv.,/hanukan/,హనుకన్,हनुकान,Banjara_english.docx
because of,kannam,conj.,/kannam/,కన్నమ్,कन्नम,Banjara_english.docx
because of that,jannaj,adv.,/jannāj/,జన్నాజ్,जन्नाज,Banjara_english.docx
becoming bankrupt,bhikari yego,v.,/bhikāri yego/,భికారి యేగో,भिकारि येगो,Banjara_english.docx
becoming fat,jadover,v.,/jādōver/,జాదోవేర్,जादोवेर,Banjara_english.docx
becoming separate,tal,v.,/tāl/,తాల్,ताल,Banjara_english.docx
becoming unconscious,gheri ayer,v.,/gheri ayer/,ఘేరి అయేర్,घेरि अयेर,Banjara_english.docx
bed,goddi / vacano / savardam,n. / v.,/goddi/ /vacano/ /savārdam/,గోద్ది / వచనో / సవార్దమ్,गोद्दि / वचनो / सवारदम,Banjara_english.docx
bedspread,ceddar / jankhana,n.,/ceddar/ /jańkhāna/,చెద్దార్ / జంఖాన,चेद्दार / जङ्खान,Banjara_english.docx
bee,vayir atta / phunda,n.,/vayir atta/ /phūndā/,వయిర్ అత్త / ఫూందా,वयिर अत्त / फून्दा,Banjara_english.docx
beed,laldi,n.,/laldi/,లల్ది,लल्दि,Banjara_english.docx
before,okangam / dharagadiya,adv.,/okängam/ /dharagadiya/,ఒకాంగమ్ / ధరగదియ,ओकाङ्गम / धरगदिय,Banjara_english.docx
begging,bhik,n.,/bhik/,భిక్,भिक,Banjara_english.docx
beginning,suru,n.,/suru/,సురు,सुरु,Banjara_english.docx
behave,camlayer,v.,/camlāyēr/,చమ్లాయేర్,चमलायेर,Banjara_english.docx
behind,paccam,n.,/paccam/,పచ్చమ్,पच्चम,Banjara_english.docx
being affectionate,khubac,n.,/khūbāc/,ఖూబాచ్,खूबाच,Banjara_english.docx
being at the back,laram,adv.,/lāram/,లారమ్,लारम,Banjara_english.docx
being conscious,jagrocam,n.,/jāgrōcam/,జాగ్రోచమ్,जाग्रोचम,Banjara_english.docx
being ill,tanjro,n.,/tañjro/,తంజ్రో,तन्ज्रो,Banjara_english.docx
being itchy,bhalbhalayer,n.,/bhalbhalāyēr/,భల్భలాయేర్,भलभलायेर,Banjara_english.docx
being proud,masti,n.,/masti/,మస్తి,मस्ति,Banjara_english.docx
being rough,khancalo,adj.,/khāñcalo/,ఖాంచలో,खाञ्चलो,Banjara_english.docx
being spread,jhamjayer,n.,/jhamjāyēr/,ఝమ్జాయేర్,झमजायेर,Banjara_english.docx
being sticky,gundernai,n.,/gundernai/,గుందేర్నై,गुन्देरनइ,Banjara_english.docx
believe,visvas,v.,/viśvās/,విశ్వాస్,विश्वास,Banjara_english.docx
belly,pet / phuliyayo,n.,/pet/ /phūliyāyo/,పేట్ / ఫూలియాయో,पेट / फूलियायो,Banjara_english.docx
belongings,jamyijat,n.,/jāmyijāt/,జామ్యిజాత్,जाम्यिजात,Banjara_english.docx
beloved,valo,v.,/vālō/,వాలో,वालो,Banjara_english.docx
belt,patteda,n.,/patteda/,పత్తేద,पत्तेद,Banjara_english.docx
bend,navadam / nav / valo / val / valdam,v.,/navādam/ /nav/ /vālō/ /vāl/ /valdam/,నవాదమ్ / నవ్ / వాలో / వాల్ / వల్దమ్,नवादम / नव / वालो / वाल / वलदम,Banjara_english.docx
bends,navan,n.,/navan/,నవన్,नवन,Banjara_english.docx
blockade,gherlo,v.,/gherlo/,ఘేర్లో,घेर्लो,Banjara_english.docx
bereavement,kholdo,n.,/kholdo/,ఖోల్దో,खोल्दो,Banjara_english.docx
besides,nato,adv.,/nato/,నతో,नतो,Banjara_english.docx
between,vaccela,adj.,/vaccēla/,వచ్చేల,वच्चेला,Banjara_english.docx
beverage,pani,n.,/pani/,పాని,पानि,Banjara_english.docx
big,asman / pakkocvado / moto,adv. / adj.,/asmān/ /pakkocvādo/ /moto/,అస్మాన్ / పక్కోచవాదో / మోతో,अस्मान / पक्कोच्वादो / मोतो,Banjara_english.docx
big ant,makoda,n.,/makōda/,మకోద,मकोदा,Banjara_english.docx
big bundle of hay,paralervami,n.,/parāļērvāmi/,పరాళేర్వామి,पराळेर्वामि,Banjara_english.docx
big needle,suyo,n.,/suyō/,సుయో,सुयो,Banjara_english.docx
big spoon,korco,n.,/korco/,కోర్చో,कोर्चो,Banjara_english.docx
big tiger,janavar,n.,/janāvar/,జనావర్,जनावर,Banjara_english.docx
big water container for drinking water,koldi,n.,/kōldi/,కోల్ది,कोल्दि,Banjara_english.docx
big way,motoso,adj.,/mōtōso/,మోతోసో,मोतोसो,Banjara_english.docx
bight,phando,n.,/phando/,ఫందో,फन्दो,Banjara_english.docx
bile,gumdi,n.,/gumdi/,గుమ్ది,गुम्दि,Banjara_english.docx
bind,bhandino,v.,/bhāndino/,భాందినో,भान्दिनो,Banjara_english.docx
binding,jimmedari,n.,/jimmedari/,జిమ్మెదారి,जिम्मेदारि,Banjara_english.docx
bird,pitta / pitti,n.,/pitta/ /pitti/,పిత్త / పిత్తి,पित्त / पित्ति,Banjara_english.docx
bird of quail genus,toliya,n.,/toliya/,తోలియ,तोलिया,Banjara_english.docx
birth,janam,n.,/janam/,జనమ్,जनम,Banjara_english.docx
birth defect,gyanohuyo,n.,/gyānōhuyo/,జ్ఞానోహుయో,ज्ञानोहुयो,Banjara_english.docx
bit,tunka,n.,/tunka/,తున్క,तुन्का,Banjara_english.docx
bitch,kotri,n.,/kotri/,కోత్రి,कोत्रि,Banjara_english.docx
bite,gant,v.,/gant/,గంట్,गन्ट,Banjara_english.docx
bitter,kudi,adj.,/kudi/,కుది,कुदि,Banjara_english.docx
bitter gourd,karela,n.,/karēlā/,కరేలా,करेला,Banjara_english.docx
"""bit; piece; strip""",ped,n.,/ped/,పేడ్,पेड,Banjara_english.docx
black,kalo / masal,n. / adj.,/kālō/ /masal/,కాలో / మసల్,कालो / मसल,Banjara_english.docx
blacksmith,kamar,n.,/kamār/,కమార్,कमार,Banjara_english.docx
blade,patti / makka / sarra,n.,/patti/ /makkā/ /sarra/,పత్తి / మక్కా / సర్ర,पत्ति / मक्का / सर्र,Banjara_english.docx
blanket,ghungdi,n.,/ghūngdi/,ఘూంగ్ది,घूंग्दि,Banjara_english.docx
blast,phod,v.,/phōd/,ఫోడ్,फोड,Banjara_english.docx
blaze,holi,n.,/holi/,హోలి,होलि,Banjara_english.docx
blazer,kot,n.,/kōt/,కోట్,कोट,Banjara_english.docx
bleat,gunasro,v.,/gunasro/,గునస్రో,गुनस्त्रो,Banjara_english.docx
bleeding from wound,rad,n.,/rad/,రాద్,राद,Banjara_english.docx
blend,bhalge,v.,/bhalge/,భల్గే,भलगे,Banjara_english.docx
blight,kosari / rog,n.,/kośāri/ /rōg/,కోశారి / రోగ్,कोशारि / रोग,Banjara_english.docx
blind,andi / kano,adj.,/andi/ /kānō/,అంది / కానో,अन्दि / कानो,Banjara_english.docx
blind belief,andimaner,n.,/andimānēr/,అందిమానేర్,अन्दिमानेर,Banjara_english.docx
block,bigadayer,n.,/bigadāyer/,బిగదాయేర్,बिगदायेर,Banjara_english.docx
blood,loyi,n.,/lōyi/,లోయి,लोयि,Banjara_english.docx
blouse,kancli,n.,/kāñcļi/,కాంచ్లి,काञ्चळि,Banjara_english.docx
blow,phunkar / phulero,n. / v.,/phuńkār/ /phūlērō/,ఫుంకార్ / ఫూలేరో,फुंकार / फूलेरो,Banjara_english.docx
blue,nilo,n.,/nilo/,నీలో,नीलो,Banjara_english.docx
body,jivda / muyo,n. / v.,/jivdā/ /muyo/,జివ్దా / ముయో,जिव्दा / मुयो,Banjara_english.docx
bog,badava,n.,/badava/,బదవ,बदवा,Banjara_english.docx
boil,ukalro / uklam,n. / v.,/ukalro/ /uklam/,ఉకల్రో / ఉక్లమ్,उकल्रो / उक्लम,Banjara_english.docx
boiled,ukalgi,n.,/ukaļgi/,ఉకళ్గి,उकळगि,Banjara_english.docx
"""boil; blister""",phoda,n.,/phōdā/,ఫోదా,फोदा,Banjara_english.docx
bolt,cilla / bedam / vijhli,n.,/cilla/ /bēdam/ /vijhli/,చిల్ల / బేదమ్ / విజ్లి,चिल्ला / बेदम / विझलि,Banjara_english.docx
bondage,katbhand / gulam,n.,/katbhand/ /gulām/,కత్భండ్ / గులామ్,कतभंड / गुलाम,Banjara_english.docx
bone,hadaka / hadka,n.,/hadaka/ /hadka/,హడక / హడ్క,हडका / हडका,Banjara_english.docx
bookshelf,vair arra,n.,/vair arra/,వైర్ అర్ర,वयर अर्र,Banjara_english.docx
boot,jute,n.,/jūtē/,జూతే,जू्ते,Banjara_english.docx
bore,katalo,n.,/katalo/,కతలో,कतलो,Banjara_english.docx
born,huyo,adj.,/huyo/,హుయో,हुयो,Banjara_english.docx
bossism,hukmat,n.,/hukmat/,హుక్మత్,हुकमत,Banjara_english.docx
bottle,lotima pakad / sisi,v. / n.,/lotimā pakad/ /sisi/,లోతిమా పకడ్ / సిసి,लोतिमा पकड / सिसि,Banjara_english.docx
bottom,hetam,adj.,/hētam/,హేతమ్,हेतम,Banjara_english.docx
boulder,bhata,n.,/bhāta/,భాత,भाता,Banjara_english.docx
bounce,dhakka / vackalan pader,n. / v.,/dhakkā/ /vackalan pader/,ధక్కా / వచ్కలన్ పదేర్,धक्का / वच्कलन पदेर,Banjara_english.docx
boundary,ilako / gettu / binda / sivamr,n.,/ilāko/ /gettu/ /binda/ /sivāmr/,ఇలాకో / గెత్తు / బింద / సివామ్ర,इलाको / गेत्तु / बिन्दा / सिवामृ,Banjara_english.docx
bow,banam,n.,/bānam/,బానమ్,बानम,Banjara_english.docx
bow before god,dhok,n.,/dhōk/,ధోక్,धोक,Banjara_english.docx
bowl,radayer,v.,/radayer/,రదాయేర్,रदायेर,Banjara_english.docx
box,pipa / buddi / sanduk,n.,/pipā/ /buddi/ /sanduk/,పిపా / బుద్ది / సందుక్,पिपा / बुद्दि / सन्दुक,Banjara_english.docx
boy,chvara,n.,/chvara/,ఛ్వరా,छ्वरा,Banjara_english.docx
boyish,nanka / bholka,adj.,/nānkā/ /bhōlka/,నాన్కా / భోల్క,नान्का / भोल्का,Banjara_english.docx
bracelet,kolda,n.,/koldā/,కోల్దా,कोल्दा,Banjara_english.docx
brain,bhejo,n.,/bhējo/,భేజో,भेजो,Banjara_english.docx
bran,curo / pottu,n.,/curo/ /pottu/,చురో / పొత్తు,चुरो / पोत्तु,Banjara_english.docx
branch,dvali / phankaphut / phatero,n. / v.,/dvāli/ /phānkāphūt/ /phātero/,ద్వాలి / ఫాంకాఫూట్ / ఫాతేరో,द्वालि / फाङ्काफूट / फातेरो,Banjara_english.docx
branching,phyalgi,n.,/phyālgi/,ఫ్యాల్గి,फ्याल्गि,Banjara_english.docx
brass,pitlo,adj.,/pitlo/,పిత్లో,पित्लो,Banjara_english.docx
bread,bati,n.,/bāti/,బాటి,बाटि,Banjara_english.docx
break,tod / tonak / phut go / phod,n. / v.,/tōd/ /tōnāk/ /phút gō/ /phod/,తోడ్ / తోనాక్ / ఫూట్ గో / ఫోడ్,तोड / तोनाक / फूट गो / फोड,Banjara_english.docx
break it,todnako,v.,/todnakō/,తోద్నకో,तोदनको,Banjara_english.docx
breast,baccir,n.,/baccir/,బచ్చిర్,बच्चिर,Banjara_english.docx
breath,vams,n.,/vāms/,వామ్స్,वाम्स,Banjara_english.docx
breed,jat,n.,/jāt/,జాత్,जात,Banjara_english.docx
breeze,sil,n.,/śil/,శిల్,शिल,Banjara_english.docx
brick,itika,n.,/itika/,ఇతిక,इतिक,Banjara_english.docx
bride,navleri,n.,/navlēri/,నవ్లేరి,नव्लेरि,Banjara_english.docx
bright,jhankro / vajalo,adj.,/jhānkro/ /vajālō/,ఝాంక్రో / వజాలో,झाङ्क्रो / वजालो,Banjara_english.docx
bristle,posa,n.,/posa/,పోస,पोस,Banjara_english.docx
broken,tut gi / phuter,adj.,/tut gi/ /phuter/,తుట్ గి / ఫుతేర్,टुट गि / फुतेर,Banjara_english.docx
broken hard coconut,kacli,n.,/kācli/,కాచ్లి,काच्लि,Banjara_english.docx
